,gender,age,race,field_cd,attr,sinc,intel,fun,amb,shar,like,attr_o,sinc_o,intel_o,fun_o,amb_o,shar_o,match,like_o
22,0,25.0,2.0,2.0,7.0,9.0,9.0,7.0,9.0,7.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,0,10.0
23,0,25.0,2.0,2.0,9.0,7.0,9.0,7.0,9.0,7.0,8.0,7.0,9.0,8.0,8.0,8.0,8.0,0,7.0
25,0,25.0,2.0,2.0,8.0,10.0,10.0,7.0,9.0,9.0,8.0,7.0,6.0,6.0,6.0,6.0,6.0,0,6.0
26,0,25.0,2.0,2.0,8.0,9.0,10.0,7.0,7.0,9.0,8.0,6.0,3.0,5.0,4.0,5.0,4.0,0,2.0
27,0,25.0,2.0,2.0,7.0,9.0,9.0,8.0,9.0,7.0,8.0,4.0,5.0,6.0,4.0,6.0,4.0,0,5.0
28,0,25.0,2.0,2.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,7.0,7.0,6.0,8.0,7.0,7.0,0,7.0
29,0,25.0,2.0,2.0,8.0,7.0,9.0,7.0,9.0,7.0,8.0,5.0,6.0,8.0,5.0,8.0,6.0,0,5.0
30,0,23.0,2.0,1.0,4.0,10.0,8.0,5.0,8.0,7.0,6.0,6.0,7.0,8.0,7.0,7.0,5.0,0,6.0
31,0,23.0,2.0,1.0,8.0,7.0,8.0,10.0,7.0,8.0,8.0,6.0,5.0,10.0,6.0,6.0,5.0,0,6.0
32,0,23.0,2.0,1.0,4.0,7.0,8.0,8.0,6.0,7.0,4.0,10.0,10.0,10.0,10.0,10.0,10.0,0,10.0
33,0,23.0,2.0,1.0,8.0,10.0,7.0,10.0,7.0,10.0,8.0,7.0,7.0,7.0,9.0,9.0,9.0,1,8.0
34,0,23.0,2.0,1.0,6.0,9.0,8.0,9.0,8.0,9.0,7.0,8.0,8.0,9.0,8.0,8.0,9.0,0,9.0
35,0,23.0,2.0,1.0,5.0,10.0,8.0,4.0,8.0,2.0,4.0,6.0,6.0,7.0,7.0,8.0,7.0,0,6.0
36,0,23.0,2.0,1.0,7.0,10.0,10.0,7.0,10.0,5.0,5.0,7.0,6.0,3.0,5.0,6.0,5.0,0,6.0
37,0,23.0,2.0,1.0,5.0,9.0,9.0,5.0,9.0,7.0,6.0,6.0,7.0,8.0,6.0,6.0,5.0,0,7.0
38,0,23.0,2.0,1.0,9.0,8.0,10.0,10.0,7.0,8.0,8.0,7.0,7.0,7.0,10.0,9.0,10.0,1,8.0
39,0,23.0,2.0,1.0,8.0,9.0,10.0,10.0,8.0,8.0,10.0,7.0,8.0,8.0,7.0,8.0,7.0,0,7.0
40,0,21.0,2.0,1.0,5.0,8.0,8.0,2.0,2.0,2.0,7.0,6.0,8.0,8.0,8.0,7.0,6.0,0,6.0
41,0,21.0,2.0,1.0,8.0,6.0,6.0,5.0,5.0,5.0,6.0,6.0,7.0,10.0,7.0,6.0,5.0,0,7.0
42,0,21.0,2.0,1.0,4.0,6.0,8.0,8.0,6.0,5.0,6.0,10.0,10.0,10.0,10.0,10.0,10.0,0,10.0
43,0,21.0,2.0,1.0,8.0,5.0,5.0,7.0,7.0,9.0,8.0,6.0,8.0,6.0,8.0,10.0,10.0,1,7.0
44,0,21.0,2.0,1.0,6.0,7.0,7.0,5.0,4.0,8.0,7.0,5.0,9.0,9.0,7.0,9.0,5.0,0,5.0
45,0,21.0,2.0,1.0,5.0,6.0,7.0,5.0,7.0,8.0,7.0,5.0,8.0,7.0,7.0,7.0,7.0,0,6.0
46,0,21.0,2.0,1.0,6.0,6.0,8.0,5.0,5.0,6.0,6.0,2.0,3.0,4.0,4.0,5.0,3.0,0,3.0
47,0,21.0,2.0,1.0,5.0,5.0,7.0,6.0,7.0,5.0,6.0,5.0,5.0,6.0,5.0,5.0,5.0,0,6.0
48,0,21.0,2.0,1.0,7.0,5.0,7.0,8.0,7.0,9.0,9.0,5.0,9.0,9.0,9.0,9.0,6.0,1,7.0
49,0,21.0,2.0,1.0,9.0,6.0,7.0,9.0,6.0,5.0,10.0,3.0,10.0,7.0,7.0,10.0,5.0,0,4.0
50,0,23.0,4.0,1.0,6.0,9.0,7.0,6.0,7.0,6.0,6.0,7.0,9.0,8.0,9.0,8.0,4.0,0,7.0
51,0,23.0,4.0,1.0,6.0,9.0,9.0,6.0,8.0,2.0,7.0,6.0,8.0,10.0,6.0,7.0,6.0,0,7.0
52,0,23.0,4.0,1.0,4.0,7.0,9.0,4.0,3.0,2.0,6.0,10.0,10.0,10.0,10.0,10.0,10.0,0,10.0
53,0,23.0,4.0,1.0,8.0,6.0,7.0,8.0,2.0,8.0,9.0,6.0,8.0,8.0,7.0,9.0,8.0,1,7.0
54,0,23.0,4.0,1.0,5.0,4.0,8.0,8.0,4.0,2.0,4.0,9.0,7.0,9.0,7.0,9.0,6.0,0,9.0
55,0,23.0,4.0,1.0,3.0,7.0,6.0,1.0,1.0,1.0,2.0,6.0,6.0,8.0,8.0,8.0,7.0,0,6.0
56,0,23.0,4.0,1.0,8.0,8.0,8.0,8.0,3.0,4.0,8.0,5.0,6.0,8.0,4.0,5.0,4.0,0,3.0
57,0,23.0,4.0,1.0,4.0,8.0,9.0,2.0,8.0,3.0,5.0,6.0,7.0,8.0,7.0,8.0,5.0,0,7.0
58,0,23.0,4.0,1.0,7.0,6.0,8.0,8.0,6.0,9.0,9.0,6.0,7.0,7.0,6.0,6.0,6.0,1,6.0
59,0,23.0,4.0,1.0,8.0,9.0,9.0,9.0,10.0,7.0,9.0,7.0,10.0,10.0,6.0,10.0,7.0,0,6.0
60,0,22.0,4.0,1.0,4.0,8.0,8.0,5.0,7.0,4.0,7.0,7.0,8.0,8.0,8.0,7.0,7.0,0,7.0
61,0,22.0,4.0,1.0,6.0,6.0,8.0,4.0,9.0,4.0,7.0,7.0,9.0,10.0,6.0,6.0,5.0,0,8.0
62,0,22.0,4.0,1.0,3.0,6.0,8.0,7.0,8.0,8.0,7.0,10.0,10.0,10.0,10.0,10.0,10.0,0,10.0
63,0,22.0,4.0,1.0,7.0,8.0,8.0,7.0,7.0,6.0,8.0,8.0,8.0,9.0,8.0,9.0,9.0,1,8.0
64,0,22.0,4.0,1.0,4.0,7.0,7.0,4.0,8.0,5.0,5.0,8.0,7.0,9.0,6.0,9.0,5.0,0,8.0
65,0,22.0,4.0,1.0,4.0,8.0,7.0,4.0,5.0,4.0,5.0,8.0,8.0,8.0,6.0,6.0,6.0,0,7.0
66,0,22.0,4.0,1.0,7.0,7.0,8.0,7.0,7.0,7.0,8.0,7.0,6.0,5.0,4.0,4.0,3.0,0,5.0
67,0,22.0,4.0,1.0,5.0,7.0,8.0,5.0,9.0,5.0,5.0,8.0,7.0,6.0,7.0,7.0,5.0,0,7.0
68,0,22.0,4.0,1.0,6.0,6.0,8.0,8.0,8.0,6.0,6.0,9.0,7.0,9.0,9.0,9.0,10.0,1,9.0
69,0,22.0,4.0,1.0,8.0,6.0,7.0,7.0,8.0,6.0,7.0,7.0,6.0,8.0,6.0,8.0,7.0,0,7.0
70,0,25.0,2.0,13.0,5.0,8.0,7.0,4.0,7.0,5.0,4.0,8.0,7.0,6.0,6.0,6.0,5.0,0,7.0
71,0,25.0,2.0,13.0,8.0,7.0,7.0,9.0,6.0,7.0,8.0,8.0,8.0,10.0,7.0,6.0,5.0,1,9.0
72,0,25.0,2.0,13.0,5.0,8.0,8.0,6.0,7.0,7.0,5.0,10.0,10.0,10.0,10.0,10.0,10.0,1,10.0
73,0,25.0,2.0,13.0,8.0,6.0,5.0,6.0,6.0,5.0,5.0,8.0,8.0,8.0,8.0,8.0,7.0,1,8.0
75,0,25.0,2.0,13.0,6.0,8.0,8.0,5.0,6.0,7.0,6.0,8.0,7.0,7.0,7.0,8.0,7.0,1,7.0
76,0,25.0,2.0,13.0,6.0,7.0,8.0,5.0,7.0,7.0,6.0,6.0,4.0,7.0,5.0,6.0,4.0,0,4.0
77,0,25.0,2.0,13.0,5.0,6.0,7.0,4.0,5.0,6.0,5.0,9.0,8.0,8.0,8.0,7.0,5.0,1,7.0
78,0,25.0,2.0,13.0,8.0,8.0,5.0,9.0,8.0,9.0,7.0,8.0,7.0,8.0,10.0,8.0,10.0,1,8.0
79,0,25.0,2.0,13.0,7.0,6.0,8.0,7.0,9.0,8.0,8.0,8.0,10.0,9.0,9.0,8.0,8.0,1,8.0
80,0,26.0,6.0,13.0,8.0,10.0,9.0,8.0,7.0,6.0,5.0,6.0,8.0,7.0,8.0,7.0,5.0,0,6.0
81,0,26.0,6.0,13.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.0,8.0,10.0,7.0,6.0,5.0,1,8.0
82,0,26.0,6.0,13.0,5.0,10.0,10.0,6.0,6.0,6.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,1,10.0
83,0,26.0,6.0,13.0,10.0,9.0,8.0,8.0,7.0,7.0,7.0,7.0,8.0,7.0,8.0,8.0,7.0,1,7.0
84,0,26.0,6.0,13.0,5.0,10.0,8.0,8.0,5.0,5.0,5.0,7.0,9.0,8.0,9.0,7.0,7.0,1,7.0
85,0,26.0,6.0,13.0,8.0,9.0,9.0,7.0,6.0,5.0,6.0,6.0,6.0,7.0,8.0,7.0,7.0,1,6.0
86,0,26.0,6.0,13.0,6.0,8.0,9.0,6.0,6.0,6.0,7.0,8.0,6.0,7.0,8.0,6.0,5.0,1,8.0
87,0,26.0,6.0,13.0,6.0,7.0,8.0,7.0,9.0,6.0,7.0,7.0,7.0,7.0,7.0,6.0,5.0,0,7.0
88,0,26.0,6.0,13.0,8.0,5.0,5.0,6.0,5.0,5.0,7.0,6.0,6.0,6.0,7.0,6.0,6.0,1,6.0
89,0,26.0,6.0,13.0,7.0,8.0,7.0,8.0,7.0,8.0,8.0,5.0,6.0,6.0,6.0,6.0,6.0,0,6.0
98,0,26.0,2.0,13.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,7.0,7.0,7.0,7.0,6.0,6.0,1,7.0
99,0,26.0,2.0,13.0,9.0,9.0,8.0,10.0,8.0,8.0,9.0,6.0,6.0,6.0,6.0,6.0,6.0,0,7.0
100,1,27.0,2.0,8.0,6.0,8.0,8.0,8.0,8.0,6.0,7.0,6.0,9.0,7.0,7.0,6.0,5.0,0,7.0
101,1,27.0,2.0,8.0,8.0,7.0,6.0,9.0,7.0,4.0,7.0,5.0,7.0,8.0,4.0,6.0,3.0,0,6.0
102,1,27.0,2.0,8.0,7.0,8.0,6.0,5.0,8.0,4.0,5.0,7.0,9.0,10.0,7.0,8.0,9.0,0,8.0
103,1,27.0,2.0,8.0,6.0,7.0,8.0,7.0,7.0,5.0,6.0,4.0,10.0,8.0,5.0,8.0,7.0,0,6.0
104,1,27.0,2.0,8.0,6.0,8.0,8.0,8.0,7.0,6.0,6.0,5.0,8.0,8.0,2.0,2.0,2.0,0,7.0
105,1,27.0,2.0,8.0,7.0,9.0,8.0,9.0,8.0,4.0,7.0,6.0,9.0,7.0,6.0,7.0,6.0,0,6.0
106,1,27.0,2.0,8.0,7.0,8.0,8.0,8.0,7.0,7.0,7.0,4.0,8.0,8.0,5.0,7.0,4.0,0,7.0
107,1,27.0,2.0,8.0,8.0,7.0,6.0,6.0,6.0,5.0,7.0,5.0,8.0,7.0,4.0,7.0,5.0,0,4.0
108,1,27.0,2.0,8.0,6.0,8.0,7.0,8.0,7.0,5.0,6.0,8.0,10.0,9.0,8.0,7.0,6.0,0,5.0
110,1,22.0,2.0,1.0,7.0,8.0,10.0,7.0,7.0,5.0,8.0,7.0,8.0,7.0,8.0,5.0,6.0,0,7.0
111,1,22.0,2.0,1.0,7.0,6.0,10.0,6.0,6.0,5.0,8.0,8.0,5.0,6.0,6.0,9.0,6.0,0,7.0
112,1,22.0,2.0,1.0,6.0,7.0,10.0,6.0,6.0,5.0,7.0,9.0,7.0,9.0,8.0,9.0,7.0,0,8.0
113,1,22.0,2.0,1.0,6.0,5.0,10.0,6.0,6.0,5.0,6.0,8.0,7.0,8.0,10.0,7.0,8.0,0,8.0
114,1,22.0,2.0,1.0,6.0,7.0,10.0,7.0,6.0,5.0,7.0,8.0,6.0,6.0,5.0,5.0,5.0,0,6.0
115,1,22.0,2.0,1.0,6.0,8.0,10.0,6.0,7.0,6.0,7.0,6.0,9.0,9.0,6.0,8.0,2.0,0,7.0
116,1,22.0,2.0,1.0,7.0,9.0,10.0,6.0,6.0,5.0,8.0,6.0,6.0,8.0,4.0,9.0,4.0,0,7.0
117,1,22.0,2.0,1.0,8.0,8.0,10.0,7.0,6.0,5.0,9.0,8.0,7.0,7.0,9.0,6.0,7.0,1,8.0
118,1,22.0,2.0,1.0,8.0,8.0,10.0,7.0,6.0,5.0,8.0,10.0,10.0,10.0,10.0,10.0,10.0,1,10.0
120,1,22.0,4.0,1.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5.0,8.0,9.0,8.0,5.0,7.0,1,7.0
121,1,22.0,4.0,1.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5.0,8.0,9.0,6.0,3.0,4.0,0,6.0
122,1,22.0,4.0,1.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0,9.0,9.0,7.0,9.0,7.0,0,8.0
123,1,22.0,4.0,1.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,4.0,7.0,8.0,8.0,6.0,7.0,0,4.0
124,1,22.0,4.0,1.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,4.0,6.0,8.0,8.0,6.0,5.0,0,6.0
125,1,22.0,4.0,1.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,4.0,7.0,9.0,4.0,3.0,2.0,0,6.0
126,1,22.0,4.0,1.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,3.0,6.0,8.0,7.0,8.0,8.0,0,7.0
127,1,22.0,4.0,1.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5.0,8.0,8.0,6.0,7.0,7.0,1,5.0
128,1,22.0,4.0,1.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,5.0,10.0,10.0,6.0,6.0,6.0,1,8.0
130,1,23.0,2.0,1.0,7.0,8.0,9.0,8.0,9.0,8.0,7.0,7.0,6.0,8.0,7.0,6.0,8.0,1,7.0
131,1,23.0,2.0,1.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,7.0,9.0,7.0,6.0,5.0,7.0,1,7.0
132,1,23.0,2.0,1.0,7.0,9.0,8.0,8.0,8.0,8.0,7.0,9.0,7.0,9.0,7.0,9.0,7.0,0,8.0
133,1,23.0,2.0,1.0,7.0,7.0,7.0,9.0,9.0,9.0,8.0,8.0,10.0,7.0,10.0,7.0,10.0,1,8.0
134,1,23.0,2.0,1.0,6.0,8.0,6.0,8.0,10.0,10.0,7.0,8.0,5.0,5.0,7.0,7.0,9.0,1,8.0
135,1,23.0,2.0,1.0,6.0,8.0,8.0,7.0,9.0,8.0,7.0,8.0,6.0,7.0,8.0,2.0,8.0,1,9.0
136,1,23.0,2.0,1.0,8.0,8.0,9.0,8.0,9.0,9.0,8.0,7.0,8.0,8.0,7.0,7.0,6.0,1,8.0
137,1,23.0,2.0,1.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,8.0,6.0,5.0,6.0,6.0,5.0,1,5.0
138,1,23.0,2.0,1.0,7.0,8.0,7.0,8.0,8.0,7.0,7.0,10.0,9.0,8.0,8.0,7.0,7.0,1,7.0
140,1,24.0,3.0,1.0,8.0,7.0,9.0,6.0,9.0,7.0,8.0,5.0,6.0,7.0,7.0,6.0,6.0,1,6.0
141,1,24.0,3.0,1.0,10.0,10.0,10.0,10.0,7.0,8.0,10.0,6.0,8.0,7.0,9.0,7.0,8.0,0,8.0
143,1,24.0,3.0,1.0,8.0,8.0,9.0,8.0,8.0,9.0,9.0,6.0,9.0,8.0,9.0,8.0,9.0,0,7.0
144,1,24.0,3.0,1.0,5.0,9.0,9.0,7.0,9.0,5.0,5.0,6.0,7.0,7.0,5.0,4.0,8.0,0,7.0
145,1,24.0,3.0,1.0,9.0,7.0,9.0,7.0,9.0,6.0,9.0,5.0,4.0,8.0,8.0,4.0,2.0,0,4.0
146,1,24.0,3.0,1.0,8.0,7.0,9.0,6.0,9.0,5.0,8.0,4.0,7.0,7.0,4.0,8.0,5.0,0,5.0
148,1,24.0,3.0,1.0,7.0,9.0,8.0,9.0,7.0,7.0,7.0,5.0,10.0,8.0,8.0,5.0,5.0,1,5.0
150,1,25.0,2.0,8.0,7.0,7.0,8.0,8.0,7.0,7.0,7.0,4.0,9.0,7.0,4.0,6.0,4.0,0,6.0
151,1,25.0,2.0,8.0,7.0,8.0,7.0,5.0,7.0,7.0,7.0,8.0,7.0,8.0,3.0,6.0,2.0,0,6.0
152,1,25.0,2.0,8.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,8.0,10.0,10.0,7.0,9.0,9.0,0,8.0
153,1,25.0,2.0,8.0,6.0,6.0,7.0,7.0,8.0,7.0,6.0,5.0,10.0,8.0,4.0,8.0,2.0,0,4.0
154,1,25.0,2.0,8.0,5.0,8.0,7.0,7.0,7.0,7.0,6.0,5.0,6.0,7.0,5.0,7.0,8.0,0,7.0
155,1,25.0,2.0,8.0,6.0,6.0,8.0,8.0,8.0,7.0,6.0,3.0,7.0,6.0,1.0,1.0,1.0,0,2.0
156,1,25.0,2.0,8.0,8.0,8.0,8.0,6.0,6.0,6.0,7.0,4.0,8.0,7.0,4.0,5.0,4.0,0,5.0
157,1,25.0,2.0,8.0,8.0,7.0,7.0,7.0,8.0,7.0,7.0,6.0,8.0,8.0,5.0,6.0,7.0,1,6.0
158,1,25.0,2.0,8.0,6.0,6.0,7.0,8.0,7.0,7.0,6.0,8.0,9.0,9.0,7.0,6.0,5.0,1,6.0
160,1,30.0,2.0,13.0,3.0,6.0,7.0,5.0,8.0,7.0,2.0,7.0,6.0,7.0,4.0,6.0,7.0,0,6.0
161,1,30.0,2.0,13.0,5.0,3.0,4.0,3.0,5.0,3.0,4.0,7.0,5.0,9.0,6.0,7.0,9.0,0,8.0
162,1,30.0,2.0,13.0,6.0,3.0,5.0,4.0,5.0,4.0,2.0,8.0,9.0,10.0,7.0,7.0,9.0,0,8.0
163,1,30.0,2.0,13.0,7.0,6.0,3.0,5.0,6.0,5.0,6.0,7.0,10.0,10.0,7.0,10.0,5.0,0,5.0
164,1,30.0,2.0,13.0,2.0,3.0,4.0,4.0,5.0,3.0,3.0,6.0,6.0,8.0,5.0,5.0,6.0,0,6.0
165,1,30.0,2.0,13.0,5.0,6.0,8.0,4.0,5.0,4.0,3.0,8.0,8.0,8.0,8.0,3.0,4.0,0,8.0
166,1,30.0,2.0,13.0,7.0,6.0,5.0,4.0,4.0,3.0,5.0,7.0,7.0,8.0,7.0,7.0,7.0,0,8.0
167,1,30.0,2.0,13.0,6.0,4.0,7.0,5.0,6.0,4.0,4.0,6.0,7.0,8.0,5.0,7.0,7.0,0,6.0
168,1,30.0,2.0,13.0,8.0,6.0,7.0,8.0,6.0,5.0,8.0,6.0,8.0,9.0,6.0,6.0,6.0,1,7.0
170,1,27.0,2.0,8.0,6.0,7.0,5.0,6.0,8.0,6.0,7.0,4.0,9.0,7.0,6.0,5.0,6.0,0,6.0
171,1,27.0,2.0,8.0,7.0,7.0,7.0,7.0,7.0,5.0,7.0,5.0,8.0,7.0,5.0,9.0,5.0,0,5.0
172,1,27.0,2.0,8.0,4.0,5.0,6.0,4.0,6.0,4.0,5.0,7.0,9.0,9.0,8.0,9.0,7.0,0,8.0
173,1,27.0,2.0,8.0,6.0,7.0,8.0,6.0,6.0,5.0,7.0,5.0,9.0,9.0,5.0,9.0,7.0,0,6.0
174,1,27.0,2.0,8.0,5.0,5.0,6.0,5.0,5.0,5.0,6.0,5.0,5.0,7.0,6.0,7.0,5.0,0,6.0
175,1,27.0,2.0,8.0,6.0,7.0,8.0,7.0,8.0,5.0,7.0,4.0,8.0,9.0,2.0,8.0,3.0,0,5.0
176,1,27.0,2.0,8.0,8.0,7.0,6.0,7.0,7.0,5.0,7.0,5.0,7.0,8.0,5.0,9.0,5.0,0,5.0
177,1,27.0,2.0,8.0,9.0,8.0,8.0,8.0,7.0,5.0,7.0,5.0,6.0,7.0,4.0,5.0,6.0,1,5.0
178,1,27.0,2.0,8.0,7.0,7.0,7.0,7.0,6.0,5.0,7.0,6.0,7.0,8.0,7.0,9.0,6.0,0,7.0
180,1,28.0,2.0,8.0,7.0,7.0,8.0,8.0,8.0,9.0,6.5,7.0,6.0,8.0,9.0,8.0,8.0,1,7.0
181,1,28.0,2.0,8.0,8.0,6.0,9.0,9.0,8.0,7.0,8.0,7.0,6.0,8.0,9.0,4.0,5.0,1,5.0
182,1,28.0,2.0,8.0,7.0,7.0,6.0,8.0,7.0,7.0,7.0,9.0,9.0,9.0,9.0,9.0,9.0,0,9.0
183,1,28.0,2.0,8.0,7.0,7.0,7.0,10.0,9.0,10.0,8.0,9.0,8.0,10.0,10.0,7.0,8.0,1,8.0
184,1,28.0,2.0,8.0,5.0,9.0,9.0,9.0,9.0,6.0,7.0,7.0,5.0,7.0,8.0,7.0,9.0,1,9.0
185,1,28.0,2.0,8.0,6.0,7.0,7.0,6.0,6.0,6.0,6.0,7.0,6.0,8.0,8.0,6.0,9.0,1,9.0
186,1,28.0,2.0,8.0,9.0,7.0,9.0,9.0,9.0,10.0,9.0,6.0,6.0,8.0,8.0,8.0,6.0,1,6.0
187,1,28.0,2.0,8.0,8.0,7.0,8.0,10.0,8.0,10.0,8.0,8.0,8.0,5.0,9.0,8.0,9.0,1,7.0
188,1,28.0,2.0,8.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,8.0,5.0,5.0,6.0,5.0,5.0,1,7.0
189,1,28.0,2.0,8.0,7.0,7.0,7.0,7.0,6.0,6.0,7.0,9.0,9.0,9.0,9.0,9.0,9.0,1,9.0
190,1,24.0,2.0,8.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,8.0,10.0,8.0,0,6.0
191,1,24.0,2.0,8.0,6.0,5.0,7.0,7.0,9.0,7.0,6.0,6.0,7.0,8.0,7.0,9.0,8.0,0,8.0
192,1,24.0,2.0,8.0,5.0,6.0,8.0,5.0,8.0,6.0,5.0,8.0,7.0,9.0,7.0,9.0,7.0,0,8.0
193,1,24.0,2.0,8.0,7.0,8.0,8.0,7.0,8.0,7.0,7.0,8.0,9.0,10.0,10.0,8.0,8.0,0,10.0
194,1,24.0,2.0,8.0,3.0,10.0,7.0,7.0,10.0,5.0,4.0,9.0,6.0,7.0,9.0,6.0,5.0,0,10.0
195,1,24.0,2.0,8.0,7.0,10.0,10.0,6.0,10.0,7.0,6.0,8.0,9.0,9.0,9.0,10.0,7.0,0,9.0
196,1,24.0,2.0,8.0,7.0,6.0,8.0,6.0,8.0,7.0,7.0,8.0,6.0,7.0,7.0,8.0,6.0,0,7.0
197,1,24.0,2.0,8.0,8.0,10.0,9.0,9.0,8.0,8.0,8.0,7.0,6.0,8.0,7.0,9.0,8.0,1,8.0
198,1,24.0,2.0,8.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,8.0,7.0,8.0,7.0,8.0,0,8.0
199,1,24.0,2.0,8.0,6.0,6.0,6.0,6.0,6.0,6.0,7.0,9.0,9.0,8.0,10.0,8.0,8.0,0,9.0
200,0,21.0,4.0,5.0,6.0,8.0,7.0,9.0,5.0,7.0,9.0,3.0,10.0,10.0,6.0,4.0,7.0,0,4.0
202,0,21.0,4.0,5.0,8.0,9.0,8.0,8.0,7.0,6.0,9.0,3.0,10.0,9.0,5.0,9.0,2.0,0,6.0
203,0,21.0,4.0,5.0,5.0,8.0,8.0,4.0,9.0,3.0,6.0,4.0,5.0,6.0,4.0,6.0,2.0,0,5.0
204,0,21.0,4.0,5.0,7.0,7.0,8.0,5.0,7.0,2.0,6.0,6.0,7.0,8.0,6.0,7.0,7.0,0,8.0
205,0,21.0,4.0,5.0,6.0,8.0,8.0,6.0,8.0,4.0,5.0,7.0,8.0,8.0,7.0,9.0,6.0,0,7.0
206,0,21.0,4.0,5.0,6.0,8.0,8.0,6.0,8.0,5.0,8.0,6.0,7.0,10.0,8.0,9.0,8.0,0,8.0
207,0,21.0,4.0,5.0,4.0,7.0,7.0,4.0,7.0,3.0,5.0,9.0,5.0,6.0,5.0,5.0,7.0,0,5.0
